# This file: https://hgdownload.soe.ucsc.edu/hubs/UCSC_GI.assemblyHubList.txt
# last update: 2022-09-02, 2320 assemblies listed
#
# Providing a listing of assembly resources available for display in
# the UCSC Genome Browser.  Tab separated list currently with six columns,
# additional columns may be added in the futue.
# Construct a short URL with the accession name to display this assembly
# in the genome browser. For example: https://genome.ucsc.edu/h/GCA_003369685.2
#
# Note: a clade with suffix '(L)' is found in the 'legacy' set of assemblies.
# 'legacy' are assemblies that have become outdated and superseded by newer
# and better assemblies.
#
# currently clade groupings found in the GenArk are:
# birds fish fungi invertebrate mammals plants primates vertebrate viral
#
# where 'vertebrate' are the 'other' vertebrates not alreaded included in
#    birds fish mammals primates
#
# 'invertebrate' can include a broad range of organisms including single
#    cell eukaryotic protists etc.
#
# 'viral' currently includes most viruses of interest related to human
#         pathogens
#
# future plans to include selected sets of bacteria and archaea assemblies
#
# accession	assembly	scientific name	common name	taxonId	GenArk clade
GCF_000003855.2	BD_SLH14081_V1	Blastomyces gilchristii SLH14081	ascomycetes B.gilchristii SLH14081	559298	fungi
GCF_000004075.3	Cucumber_9930_V3	Cucumis sativus	cucumber	3659	plants
GCF_000004095.1	Hydra_RP_1.0	Hydra vulgaris	hydrozoans H.vulgaris	6087	invertebrate
GCF_000004155.1	SCY4	Schizosaccharomyces cryophilus OY26	ascomycetes S.cryophilus OY26	653667	fungi
GCF_000004195.4	UCB_Xtro_10.0	Xenopus tropicalis	tropical clawed frog	8364	vertebrate
GCF_000004255.2	v.1.0	Arabidopsis lyrata subsp. lyrata	lyrate rockcress	81972	plants
GCF_000004335.2	AilMel_1.0	Ailuropoda melanoleuca	giant panda (2009 BGI)	9646	mammals(L)
GCF_000004515.5	Glycine_max_v2.1	Glycine max	soybean (US DOE JGI-PGF v1 2018)	3847	plants(L)
GCF_000004515.6	Glycine_max_v4.0	Glycine max	soybean (US DOE JGI-PGF v2 2021)	3847	plants
GCF_000004555.1	ASM455v1	Caenorhabditis briggsae	nematode C.briggsae (AF16 v1 2008)	6238	invertebrates(L)
GCF_000004555.2	CB4	Caenorhabditis briggsae	nematode C.briggsae (AF16 CB4 2014)	6238	invertebrate
GCF_000004665.1	Callithrix_jacchus-3.2	Callithrix jacchus	white-tufted-ear marmoset (2010 Wash U)	9483	primates(L)
GCF_000005155.2	dgri_caf1	Drosophila grimshawi	fly D.grimshawi (Agencourt 2006)	7222	invertebrate
GCF_000005175.2	dmoj_caf1	Drosophila mojavensis	fly D.mojavensis (Agencourt 2006)	7230	invertebrate
GCF_000005505.3	Brachypodium_distachyon_v3.0	Brachypodium distachyon	stiff brome	15368	plants
GCF_000005575.2	AgamP3	Anopheles gambiae str. PEST	African malaria mosquito	180454	invertebrate
GCF_000005845.2	ASM584v2	Escherichia coli str. K-12 substr. MG1655	E. coli K-12 MG1655	511145	bacteria
GCF_000005925.1	dwil_caf1	Drosophila willistoni	fly D.willistoni	7260	invertebrate
GCF_000005975.2	dyak_caf1	Drosophila yakuba	fly D.yakuba (2018)	7245	invertebrates(L)
GCF_000006175.1	ASM617v2	Methanococcus voltae A3	Methanococcus voltae A3 (2010)	456320	n/a
GCF_000006295.1	JCVI_LOUSE_1.0	Pediculus humanus corporis	human body louse	121224	invertebrate
GCF_000006335.3	ASM633v3	Candida tropicalis MYA-3404	budding yeast C.tropicalis MYA-3404	294747	fungi
GCF_000006445.2	ASM644v2	Debaryomyces hansenii CBS767	budding yeast D.hansenii CBS767	284592	fungi
GCF_000006765.1	ASM676v1	Pseudomonas aeruginosa PAO1	Pseudomonas aeruginosa (PAO1 2006)	208964	bacteria
GCF_000009045.1	ASM904v1	Bacillus subtilis subsp. subtilis str. 168	Bacillus subtilis strain 168	224308	bacteria
GCF_000009225.2	ASM922v1	Pseudomonas fluorescens SBW25	Pseudomonas fluorescens (SBW25 2009)	216595	bacteria
GCF_000026365.1	ASM2636v1	Zygosaccharomyces rouxii	budding yeast Z.rouxii	4956	fungi
GCF_000026945.1	ASM2694v1	Candida dubliniensis CD36	budding yeast C.dubliniensis CD36	573826	fungi
GCF_000027005.1	ASM2700v1	Komagataella phaffii GS115	budding yeast K.phaffii GS115	644223	fungi
GCF_000090745.1	AnoCar2.0	Anolis carolinensis	green anole	28377	vertebrate
GCF_000090795.1	v1.0	Amphimedon queenslandica	sponges A.queenslandica	400682	invertebrate
GCF_000090985.2	ASM9098v2	Micromonas commoda	green algae M.commoda RCC299	296587	plants
GCF_000091025.4	ASM9102v4	Eremothecium gossypii ATCC 10895	budding yeast E.gossypii ATCC 10895	284811	fungi
GCF_000091045.1	ASM9104v1	Cryptococcus neoformans var. neoformans JEC21	basidiomycetes C.neoformans var. neoformans JEC21	214684	fungi
GCF_000091225.1	ASM9122v1	Encephalitozoon cuniculi GB-M1	microsporidians E.cuniculi GB-M1	284813	fungi
GCF_000092065.1	ASM9206v1	Ostreococcus lucimarinus CCE9901	green algae O.lucimarinus CCE9901	436017	plants
GCF_000142805.1	ASM14280v1	Lachancea thermotolerans CBS 6340	budding yeast L.thermotolerans CBS 6340	559295	fungi
GCF_000143105.1	Sanger-454-IlluminaPA_2.0	Grosmannia clavigera kw1407	ascomycetes G.clavigera kw1407	655863	fungi
GCF_000143185.1	v1.0	Schizophyllum commune H4-8	basidiomycetes S.commune H4-8	578458	fungi
GCF_000143365.1	ASM14336v1	Chaetomium globosum CBS 148.51	ascomycetes C.globosum CBS 148.51	306901	fungi
GCF_000143395.1	Attacep1.0	Atta cephalotes	ant A.cephalotes	12957	invertebrate
GCF_000143415.4	v1.0	Selaginella moellendorffii	club-mosses	88036	plants
GCF_000143455.1	v1.0	Volvox carteri f. nagariensis	green algae V.carteri Eve	3068	plants
GCF_000143535.2	ASM14353v4	Botrytis cinerea B05.10	ascomycetes B.cinerea B05.10	332648	fungi
GCF_000143565.1	V1.0	Laccaria bicolor S238N-H82	basidiomycetes L.bicolor S238N-H82	486041	fungi
GCF_000145635.1	Gae_graminis_V2	Gaeumannomyces tritici R3-111a-1	ascomycetes G.tritici R3-111a-1	644352	fungi
GCF_000146045.2	R64	Saccharomyces cerevisiae S288C	baker's yeast S288C (2014)	559292	fungi
GCF_000146465.1	ASM14646v1	Encephalitozoon intestinalis ATCC 50506	microsporidians E.intestinalis ATCC 50506	876142	fungi
GCF_000146605.3	Turkey_5.1	Meleagris gallopavo	turkey (Aviagen NT-WF06-2002-E0010 2014)	9103	birds
GCF_000146915.1	ASM14691v2	Parastagonospora nodorum SN15	ascomycetes P.nodorum SN15	321614	fungi
GCF_000146945.2	ASM14694v2	Sclerotinia sclerotiorum 1980 UF-70	ascomycetes S.sclerotiorum 1980 UF-70	665079	fungi
GCF_000147115.1	Myoluc2.0	Myotis lucifugus	little brown bat	59463	mammals
GCF_000147415.1	v_1.0	Chlorella variabilis	green algae C.variabilis NC64A	554065	plants
GCF_000149035.1	C_graminicola_M1_001_V1	Colletotrichum graminicola M1.001	ascomycetes C.graminicola M1.001	645133	fungi
GCF_000149205.2	ASM14920v2	Aspergillus nidulans FGSC A4	ascomycetes A.nidulans FGSC A4	227321	fungi
GCF_000149245.1	CNA3	Cryptococcus neoformans var. grubii H99	basidiomycetes C.neoformans var. grubii H99	235443	fungi
GCF_000149335.2	ASM14933v2	Coccidioides immitis RS	ascomycetes C.immitis RS	246410	fungi
GCF_000149385.1	ASM14938v1	Cryptococcus neoformans var. neoformans B-3501A	basidiomycetes C.neoformans var. neoformans B-3501A	283643	fungi
GCF_000149425.1	ASM14942v1	Meyerozyma guilliermondii ATCC 6260	budding yeast M.guilliermondii ATCC 6260	294746	fungi
GCF_000149515.1	ASM14951v1	Caenorhabditis remanei	nematode C.remanei	31234	invertebrate
GCF_000149555.1	ASM14955v1	Fusarium verticillioides 7600	ascomycetes F.verticillioides 7600	334819	fungi
GCF_000149585.1	ASM14958v1	Histoplasma mississippiense	ascomycetes H.capsulatum NAm1	2059318	fungi
GCF_000149615.1	ASM14961v1	Aspergillus terreus NIH2624	ascomycetes A.terreus NIH2624	341663	fungi
GCF_000149645.2	ASM14964v3	Aspergillus fischeri NRRL 181	ascomycetes A.fischeri NRRL 181	331117	fungi
GCF_000149685.1	ASM14968v1	Lodderomyces elongisporus NRRL YB-4239	budding yeast L.elongisporus NRRL YB-4239	379508	fungi
GCF_000149845.2	SJ5	Schizosaccharomyces japonicus yFS275	ascomycetes S.japonicus yFS275	402676	fungi
GCF_000149925.1	ASM14992v1	Puccinia graminis f. sp. tritici CRL 75-36-700-3	rust fungi P.graminis f. sp. tritici CRL 75-36-700-3	418459	fungi
GCF_000149955.1	ASM14995v2	Fusarium oxysporum f. sp. lycopersici 4287	ascomycetes F.oxysporum f. sp. lycopersici 4287	426428	fungi
GCF_000149985.1	ASM14998v1	Pyrenophora tritici-repentis Pt-1C-BFP	ascomycetes P.tritici-repentis Pt-1C-BFP	426418	fungi
GCF_000150035.1	ASM15003v1	Vanderwaltozyma polyspora DSM 70294	budding yeast V.polyspora DSM 70294	436907	fungi
GCF_000150115.1	ASM15011v1	Histoplasma capsulatum G186AR	ascomycetes H.capsulatum G186AR	447093	fungi
GCF_000150275.1	v1.0	Trichoplax adhaerens	placozoans T.adhaerens	10228	invertebrate
GCF_000150505.1	SO6	Schizosaccharomyces octosporus yFS286	ascomycetes S.octosporus yFS286	483514	fungi
GCF_000150535.2	Papaya1.0	Carica papaya	papaya	3649	plants
GCF_000150675.1	ASM15067v2	Verticillium dahliae VdLs.17	ascomycetes V.dahliae VdLs.17	498257	fungi
GCF_000150705.2	Paracocci_br_Pb01_V2	Paracoccidioides lutzii Pb01	ascomycetes P.lutzii Pb01	502779	fungi
GCF_000150735.1	Paracocci_br_Pb18_V2	Paracoccidioides brasiliensis Pb18	ascomycetes P.brasiliensis Pb18	502780	fungi
GCF_000150825.1	ASM15082v1	Verticillium alfalfae VaMs.102	ascomycetes V.alfalfae VaMs.102	526221	fungi
GCF_000150975.2	MS_CBS118893	Nannizzia gypsea CBS 118893	ascomycetes N.gypsea CBS 118893	535722	fungi
GCF_000151125.1	ASM15112v2	Trichophyton benhamiae CBS 112371	ascomycetes T.benhamiae CBS 112371	663331	fungi
GCF_000151145.1	ASM15114v1	Microsporum canis CBS 113480	ascomycetes M.canis CBS 113480	554155	fungi
GCF_000151265.2	Micromonas_pusilla_CCMP1545_v2.0	Micromonas pusilla CCMP1545	green algae M.pusilla CCMP1545	564608	plants
GCF_000151335.2	JCVI-cpa1-1.0	Coccidioides posadasii C735 delta SOWgp	ascomycetes C.posadasii C735 delta SOWgp	222929	fungi
GCF_000151355.1	v2.0	Fusarium vanettenii 77-13-4	ascomycetes F.vanettenii 77-13-4	660122	fungi
GCF_000151425.1	ASM15142v1	Trichophyton rubrum CBS 118892	ascomycetes T.rubrum CBS 118892	559305	fungi
GCF_000151505.1	ASM15150v1	Trichophyton verrucosum HKI 0517	ascomycetes T.verrucosum HKI 0517	663202	fungi
GCF_000151645.1	ASM15164v1	Tuber melanosporum Mel28	Perigord truffle	656061	fungi
GCF_000151685.1	JCVI_RCG_1.1	Ricinus communis	castor bean (Hale 2011 JCVI)	3988	plants
GCF_000151735.1	Cavpor3.0	Cavia porcellus	domestic guinea pig (2N 2008 refseq)	10141	mammals
GCF_000151845.1	Pvam_2.0	Pteropus vampyrus	large flying fox	132908	mammals
GCF_000151885.1	Dord_2.0	Dipodomys ordii	Ord's kangaroo rat	10020	mammals
GCF_000164805.1	Tarsius_syrichta-2.0.1	Carlito syrichta	Philippine tarsier	1868482	primates
GCF_000164845.3	VicPac3.1	Vicugna pacos	alpaca (v3.1 Carlotta AHFN-0088 2019 Deakin U)	30538	mammals(L)
GCF_000164845.4	VicPac3.2	Vicugna pacos	alpaca (v3.2 Carlotta AHFN-0088 2019 Deakin U)	30538	mammals
GCF_000165045.1	Callorhinchus_milii-6.1.3	Callorhinchus milii	elephant shark (2013)	7868	vertebrate(L)
GCF_000165425.1	ASM16542v1	Paramecium tetraurelia strain d4-2	Paramecium tetraurelia (d4-2 2017)	412030	invertebrate
GCF_000165445.2	Mmur_3.0	Microcebus murinus	gray mouse lemur	30608	primates
GCF_000167675.1	v2.0	Trichoderma reesei QM6a	ascomycetes T.reesei QM6a	431241	fungi
GCF_000170995.1	TRIVI_v2.0	Trichoderma virens Gv29-8	ascomycetes T.virens Gv29-8	413071	fungi
GCF_000171015.1	TRIAT_v2.0	Trichoderma atroviride IMI 206040	ascomycetes T.atroviride IMI 206040	452589	fungi
GCF_000181275.1	SorAra2.0	Sorex araneus	European shrew	42254	mammals
GCF_000181295.1	OtoGar3	Otolemur garnettii	small-eared galago	30611	primates
GCF_000181335.3	Felis_catus_9.0	Felis catus	domestic cat (Abyssinian Cinnamon 2017 WashU)	9685	mammals
GCF_000181695.1	ASM18169v1	Malassezia globosa CBS 7966	basidiomycetes M.globosa CBS 7966	425265	fungi
GCF_000181795.1	Trichinella_spiralis-3.7.1	Trichinella spiralis	nematode T.spiralis	6334	invertebrate
GCF_000182565.1	S_punctatus_V1	Spizellomyces punctatus DAOM BR117	chytrids S.punctatus DAOM BR117	645134	fungi
GCF_000182765.1	ASM18276v2	Candida parapsilosis	budding yeast C.parapsilosis	5480	fungi
GCF_000182805.2	ASM18280v2	Sordaria macrospora k-hell	ascomycetes S.macrospora k-hell	771870	fungi
GCF_000182895.1	CC3	Coprinopsis cinerea okayama7#130	basidiomycetes C.cinerea okayama7#130	240176	fungi
GCF_000182925.2	NC12	Neurospora crassa OR74A	ascomycetes N.crassa OR74A	367110	fungi
GCF_000182965.3	ASM18296v3	Candida albicans SC5314	budding yeast C.albicans SC5314	237561	fungi
GCF_000183805.2	Loa_loa_V3.1	Loa loa	eye worm	7209	invertebrate
GCF_000184155.1	FraVesHawaii_1.0	Fragaria vesca subsp. vesca	wild strawberry	101020	plants
GCF_000184455.2	ASM18445v3	Aspergillus oryzae RIB40	ascomycetes A.oryzae RIB40	510516	fungi
GCF_000184785.3	Aflo_1.1	Apis florea	little honeybee	7463	invertebrate
GCF_000185945.1	ASM18594v1	Cryptococcus gattii WM276	basidiomycetes C.gattii WM276	367775	fungi
GCF_000186305.1	Python_molurus_bivittatus-5.0.2	Python bivittatus	Burmese python	176946	vertebrate
GCF_000187245.1	Hansenula_2	Ogataea parapolymorpha DL-1	budding yeast O.parapolymorpha DL-1	871575	fungi
GCF_000187405.1	MetAcr_May2010	Metarhizium acridum CQMa 102	ascomycetes M.acridum CQMa 102	655827	fungi
GCF_000187425.2	MAA_2.0	Metarhizium robertsii ARSEF 23	ascomycetes M.robertsii ARSEF 23	655844	fungi
GCF_000187915.1	Pbar_UMD_V03	Pogonomyrmex barbatus	red harvester ant	144034	invertebrate
GCF_000188075.2	Si_gnH	Solenopsis invicta	red fire ant (2018)	13686	invertebrate
GCF_000188095.3	BIMP_2.2	Bombus impatiens	common eastern bumble bee	132113	invertebrate
GCF_000188115.4	SL3.0	Solanum lycopersicum	tomato	4081	plants
GCF_000189315.1	Devil_ref_v7.0	Sarcophilus harrisii	Tasmanian devil	9305	mammals(L)
GCF_000192795.1	Vavr_culi_floridensis_V1	Vavraia culicis subsp. floridensis	microsporidians V.culicis subsp. floridensis	948595	fungi
GCF_000203795.1	v1.0	Batrachochytrium dendrobatidis JAM81	chytrids B.dendrobatidis JAM81	684364	fungi
GCF_000204055.1	v1.0	Melampsora larici-populina 98AG31	rust fungi M.larici-populina 98AG31	747676	fungi
GCF_000204515.1	Aech_3.9	Acromyrmex echinatior	Panamanian leafcutter ant	103372	invertebrate
GCF_000208655.1	Dasnov3.0	Dasypus novemcinctus	nine-banded armadillo (3-136 2012 Baylor refseq)	9361	mammals
GCF_000208745.1	Criollo_cocoa_genome_V2	Theobroma cacao	cacao	3641	plants
GCF_000209065.1	ASM20906v1	Trypanosoma cruzi strain CL Brener	Trypanosoma cruzi (CL Brener 2005 kinetoplastids)	353153	invertebrate
GCF_000209165.1	ASM20916v1	Scheffersomyces stipitis CBS 6054	budding yeast S.stipitis CBS 6054	322104	fungi
GCF_000209225.1	ASM20922v1	Nematostella vectensis	starlet sea anemone (CH2 x CH6 2007 JGI)	45351	invertebrate
GCF_000210295.1	ASM21029v1	Trypanosoma brucei gambiense DAL972	Trypanosoma brucei gambiense (Dal972 MHOM/CI/86/DAL972 2009 kinetoplastids)	679716	invertebrate
GCF_000213175.1	v2.0	Neurospora tetrasperma FGSC 2508	ascomycetes N.tetrasperma FGSC 2508	510951	fungi
GCF_000214015.3	version_140606	Ostreococcus tauri	green algae O.tauri RCC4221	70448	plants
GCF_000214255.1	Bter_1.0	Bombus terrestris	buff-tailed bumblebee (2011 BCM)	30195	invertebrate
GCF_000215625.1	MusPutFur1.0	Mustela putorius furo	domestic ferret (Sable ID 1420 FGSC 2011)	9669	mammals(L)
GCF_000217595.1	Lhum_UMD_V04	Linepithema humile	Argentine ant	83485	invertebrate
GCF_000218685.1	v1.0	Serpula lacrymans var. lacrymans S7.9	dry rot fungus	578457	fungi
GCF_000219495.3	MedtrA17_4.0	Medicago truncatula	barrel medic (2014)	3880	plants
GCF_000219625.1	MYCGR_v2.0	Zymoseptoria tritici IPO323	ascomycetes Z.tritici IPO323	336722	fungi
GCF_000220665.1	Dfic_2.0	Drosophila ficusphila	fly D.ficusphila (BCM 2013)	30025	invertebrate
GCF_000220905.1	MROT_1.0	Megachile rotundata	alfalfa leafcutting bee	143995	invertebrate
GCF_000221225.1	CTHT_3.0	Thermochaetoides thermophila DSM 1495	ascomycetes C.thermophilum var. thermophilum DSM 1495	759272	fungi
GCF_000222465.1	Adig_1.1	Acropora digitifera	stony coral A.digitifera	70779	invertebrate
GCF_000223135.1	CriGri_1.0	Cricetulus griseus	Chinese hamster (CHO v1 2011 BGI)	10029	mammals
GCF_000223465.1	Candida_tenuis_v1.0	Yamadazyma tenuis ATCC 10573	budding yeast Y.tenuis ATCC 10573	590646	fungi
GCF_000223485.1	Spathaspora_passalidarum_v2.0	Spathaspora passalidarum NRRL Y-27907	budding yeast S.passalidarum NRRL Y-27907	619300	fungi
GCF_000224145.3	KH	Ciona intestinalis	vase tunicate	7719	invertebrate
GCF_000224195.1	Dele_2.0	Drosophila elegans	fly D.elegans (Baylor 2013)	30023	invertebrate
GCF_000224215.1	Dkik_2.0	Drosophila kikkawai	fly D.kikkawai (Baylor 2013)	30033	invertebrate
GCF_000224235.1	Dtak_2.0	Drosophila takahashii	fly D.takahashii (BCM 2013)	29030	invertebrate
GCF_000225545.1	AOL24927_1.0	Orbilia oligospora ATCC 24927	ascomycetes A.oligospora ATCC 24927	756982	fungi
GCF_000225605.1	CmilitarisCM01_v01	Cordyceps militaris CM01	ascomycetes C.militaris CM01	983644	fungi
GCF_000225785.1	LatCha1	Latimeria chalumnae	coelacanth	7897	vertebrate
GCF_000226075.1	SolTub_3.0	Solanum tuberosum	potato	4113	plants
GCF_000226095.1	ASM22609v1	Thermothelomyces thermophilus ATCC 42464	ascomycetes T.thermophilus ATCC 42464	573729	fungi
GCF_000226115.1	ASM22611v1	Thermothielavioides terrestris NRRL 8126	ascomycetes T.terrestris NRRL 8126	578455	fungi
GCF_000226395.1	PenChr_Nov2007	Penicillium rubens Wisconsin 54-1255	ascomycetes P.rubens Wisconsin 54-1255	500485	fungi
GCF_000226545.1	ASM22654v1	Podospora anserina S mat+	ascomycetes P.anserina S mat+	515849	fungi
GCF_000227115.2	ASM22711v2	Naumovozyma dairenensis CBS 421	budding yeast N.dairenensis CBS 421	1071378	fungi
GCF_000227135.1	ASM22713v2	Leishmania donovani	Leishmania donovani (BPK282A1 2011 kinetoplastids)	5661	invertebrate
GCF_000230375.1	ASM23037v1	Leptosphaeria maculans JN3	blackleg of rapeseed fungus	985895	fungi
GCF_000230535.1	PelSin_1.0	Pelodiscus sinensis	Chinese soft-shelled turtle	13735	vertebrate
GCF_000230625.1	Exop_derm_V1	Exophiala dermatitidis NIH/UT8656	ascomycetes E.dermatitidis NIH/UT8656	858893	fungi
GCF_000231095.1	Oryza_brachyantha.v1.4b	Oryza brachyantha	malo sina (v1 2012)	4533	plants(L)
GCF_000231095.2	ObraRS2	Oryza brachyantha	malo sina (v2 2021)	4533	plants
GCF_000231115.1	Vitt_corn_V1	Vittaforma corneae ATCC 50505	microsporidians V.corneae ATCC 50505	993615	fungi
GCF_000233375.1	ICSASG_v2	Salmo salar	Atlantic salmon (Sally 2015)	8030	fish
GCF_000233415.1	Dbia_2.0	Drosophila biarmipes	fly D.biarmipes (BCM 2013)	125945	invertebrate
GCF_000234665.1	ASM23466v4	Leishmania mexicana MHOM/GT/2001/U1103	Leishmania mexicana (MHOM/GT/2001/U1103 2011 kinetoplastids)	929439	invertebrate
GCF_000235365.1	ASM23536v1	Eremothecium cymbalariae DBVPG#7215	budding yeast E.cymbalariae DBVPG#7215	931890	fungi
GCF_000235385.1	SaiBol1.0	Saimiri boliviensis boliviensis	Bolivian squirrel monkey (3227 Broad 2011)	39432	primates(L)
GCF_000236235.1	SpeTri2.0	Ictidomys tridecemlineatus	thirteen-lined ground squirrel (2011)	43179	mammals(L)
GCF_000236285.1	Dbip_2.0	Drosophila bipectinata	fly D.bipectinata (BCM 2013)	42026	invertebrate
GCF_000236305.1	Drho_2.0	Drosophila rhopaloa	fly D.rhopaloa (modENCODE 2013)	1041015	invertebrate
GCF_000236325.1	Deug_2.0	Drosophila eugracilis	fly D.eugracilis (modENCODE 2013)	29029	invertebrate
GCF_000236905.1	ASM23690v1	Tetrapisispora phaffii CBS 4417	budding yeast T.phaffii CBS 4417	1071381	fungi
GCF_000237345.1	ASM23734v1	Naumovozyma castellii CBS 4309	budding yeast N.castellii CBS 4309	1064592	fungi
GCF_000237925.1	ASM23792v2	Schistosoma mansoni	flatworm S.mansoni	6183	invertebrate
GCF_000238935.1	Melopsittacus_undulatus_6.3	Melopsittacus undulatus	budgerigar (v6.3 2021 WashU)	13146	birds
GCF_000238955.4	M_zebra_UMD2a	Maylandia zebra	zebra mbuna	106582	fish
GCF_000239375.1	PunNye1.0	Pundamilia nyererei	P.nyererei 1_Seehausen	303518	fish
GCF_000239395.1	NeoBri1.0	Neolamprologus brichardi	lyretail cichlid	32507	fish
GCF_000239415.1	AstBur1.0	Haplochromis burtoni	Burton's mouthbrooder (Broad 2011)	8153	fish
GCF_000239435.1	ASM23943v1	Tetranychus urticae	two-spotted spider mite	32264	invertebrate
GCF_000240135.3	ASM24013v3	Fusarium graminearum PH-1	ascomycetes F.graminearum PH-1	229533	fungi
GCF_000241765.3	Chrysemys_picta_bellii-3.0.3	Chrysemys picta bellii	western painted turtle (v303 2014)	8478	vertebrate(L)
GCF_000241765.4	Chrysemys_picta_BioNano-3.0.4	Chrysemys picta bellii	western painted turtle (v304 2020)	8478	vertebrate
GCF_000242695.1	LepOcu1	Lepisosteus oculatus	spotted gar	7918	vertebrate
GCF_000243295.1	TriManLat1.0	Trichechus manatus latirostris	Florida manatee (Lorelei 2012 refseq)	127582	mammals
GCF_000243375.1	ASM24337v1	Torulaspora delbrueckii	budding yeast T.delbrueckii	4950	fungi
GCF_000247695.1	HetGla_female_1.0	Heterocephalus glaber	naked mole-rat (NMR 29 2012 refseq)	10181	mammals
GCF_000247795.1	Bos_indicus_1.0	Bos indicus	zebu cattle (Nelore 2014 refseq)	9915	mammals
GCF_000247815.1	FicAlb1.5	Ficedula albicollis	collared flycatcher	59894	birds
GCF_000250985.1	Nema_parisii_ERTm1_V3	Nematocida parisii ERTm1	microsporidians N.parisii ERTm1	881290	fungi
GCF_000255335.1	Mocc_1.0	Galendromus occidentalis	western predatory mite	34638	invertebrate
GCF_000258655.2	panpan1.1	Pan paniscus	pygmy chimpanzee (Ulindi refseq 2015)	9597	primates
GCF_000258705.1	Coccomyxa_subellipsoidae_v2.0	Coccomyxa subellipsoidea C-169	green algae C.subellipsoidea C-169	574566	plants
GCF_000260195.1	FO_II5_V1	Fusarium odoratissimum NRRL 54006	ascomycetes F.odoratissimum NRRL 54006	1089451	fungi
GCF_000260255.1	OctDeg1.0	Octodon degus	degu (3935 2012 refseq)	10160	mammals
GCF_000260355.1	ConCri1.0	Condylura cristata	star-nosed mole	143302	mammals
GCF_000263155.2	Setaria_italica_v2.0	Setaria italica	foxtail millet	4555	plants
GCF_000263375.1	Wallemia_sebi_v1.0	Wallemia mellicola CBS 633.66	basidiomycetes W.mellicola CBS 633.66	671144	fungi
GCF_000264685.3	Panu_3.0	Papio anubis	olive baboon (2017 HGSC RefSeq)	9555	primates(L)
GCF_000264905.1	Stehi1	Stereum hirsutum FP-91666 SS1	basidiomycetes S.hirsutum FP-91666 SS1	721885	fungi
GCF_000264995.1	Punctularia_strigosozonata_v1.0	Punctularia strigosozonata HHB-11173 SS5	basidiomycetes P.strigosozonata HHB-11173 SS5	741275	fungi
GCF_000271585.1	Trametes_versicolor_v1.0	Trametes versicolor FP-101664 SS1	basidiomycetes T.versicolor FP-101664 SS1	717944	fungi
GCF_000271605.1	Fomme1	Fomitiporia mediterranea MF3/22	basidiomycetes F.mediterranea MF3/22	694068	fungi
GCF_000271625.1	Conpu1	Coniophora puteana RWD-64-598 SS2	basidiomycetes C.puteana RWD-64-598 SS2	741705	fungi
GCF_000271645.1	Treme1	Tremella mesenterica DSM 1558	witches' butter	578456	fungi
GCF_000271745.1	FO_FOSC_3_a_V1	Fusarium oxysporum NRRL 32931	ascomycetes F.oxysporum NRRL 32931	660029	fungi
GCF_000275845.1	Dichomitus_squalens_v1.0	Dichomitus squalens LYAD-421 SS1	basidiomycetes D.squalens LYAD-421 SS1	732165	fungi
GCF_000276665.1	ChiLan1.0	Chinchilla lanigera	long-tailed chinchilla	34839	mammals
GCF_000277815.2	ASM27781v3	Encephalitozoon hellem ATCC 50504	microsporidians E.hellem ATCC 50504	907965	fungi
GCF_000277835.1	GeoFor_1.0	Geospiza fortis	medium ground-finch	48883	birds
GCF_000280035.1	ASM28003v2	Encephalitozoon romaleae SJ-2008	microsporidians E.romaleae SJ-2008	1178016	fungi
GCF_000280675.1	ASM28067v1	Beauveria bassiana ARSEF 2860	ascomycetes B.bassiana ARSEF 2860	655819	fungi
GCF_000280705.1	JacJac1.0	Jaculus jaculus	lesser Egyptian jerboa (JJ0015 2012 refseq)	51337	mammals
GCF_000281105.1	Coni_apol_CBS100218_V1	Coniosporium apollinis CBS 100218	ascomycetes C.apollinis CBS 100218	1168221	fungi
GCF_000281125.3	ASM28112v4	Alligator mississippiensis	American alligator	8496	vertebrate
GCF_000283155.1	CerSimSim1.0	Ceratotherium simum simum	southern white rhinoceros (SDZICR_KB13650 2012 refseq)	73337	mammals
GCF_000292625.1	Dacryopinax_sp._DJM_731_SSP1_v1.0	Dacryopinax primogenitus	basidiomycetes D.primogenitus DJM-731 SS1	1858805	fungi
GCF_000292845.1	OchPri3.0	Ochotona princeps	American pika 3.0 (2012 Broad refseq)	9978	mammals
GCF_000293215.1	Trichosporon_asahii_1	Trichosporon asahii var. asahii CBS 2479	basidiomycetes T.asahii var. asahii CBS 2479	1186058	fungi
GCF_000296735.1	ChrAsi1.0	Chrysochloris asiatica	Cape golden mole (2012 Broad)	185453	mammals
GCF_000296755.1	EriEur2.0	Erinaceus europaeus	western European hedgehog (2012 refseq)	9365	mammals
GCF_000298275.1	OryAfe1.0	Orycteropus afer afer	aardvark (SDZICR_OR568_19922 2012 Broad)	1230840	mammals
GCF_000298355.1	BosGru_v2.0	Bos mutus	wild yak	72004	mammals
GCF_000298775.1	ASM29877v1	Drepanopeziza brunnea f. sp. 'multigermtubi' MB_m1	ascomycetes M.brunnea f. sp. 'multigermtubi' MB_m1	1072389	fungi
GCF_000299155.1	EleEdw1.0	Elephantulus edwardii	Cape elephant shrew	28737	mammals
